Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosX,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosY,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisPosZ,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.PelvisRotVec[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.SacrumPelvis[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L5Sacrum[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L4L5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L3L4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L2L3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.L1L2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T12L1[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.T1C7[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C7C6[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C6C5[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C5C4[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C4C3[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C3C2[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C2C1,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_TrunkFull.C1C0
  2.090000000000000e+00, -2.844183611024500e+00,  1.471150493637791e-01,  9.938487292335147e-01,  1.577802121389033e+00,  8.203665733645604e-02,  1.864799997695861e-01, -5.513627951298638e-05,  2.775560653968747e-17, -5.170754125199619e-03, -1.766659225701640e-04,  1.156714443296040e-06, -1.656796679040121e-02, -3.119721242752113e-04,  2.549593904343305e-06, -2.925716357366205e-02, -4.488672460624740e-04,  3.995328442573652e-06, -4.209537140990100e-02, -5.790252287579996e-04,  5.421544605048454e-06, -5.430176132047942e-02, -7.085771141370166e-04,  6.725936965281231e-06, -6.645131061305702e-02, -7.759535487517018e-04,  8.139439323186904e-06, -7.276996287442504e-02, -5.070695063202971e-04, -2.699702918500814e-05,  1.580601921338630e-02, -5.070695063200812e-04, -2.699702918493182e-05,  1.580601921338636e-02, -5.070695063203102e-04, -2.699702918491100e-05,  1.580601921338642e-02, -5.070695063198703e-04, -2.699702918491100e-05,  1.580601921338652e-02, -5.070695063199841e-04, -2.699702918488325e-05,  1.580601921338653e-02, -5.070695063199859e-04, -2.699702918485550e-05,  1.580601921338656e-02,  2.681492111689110e-09, -1.099729466482401e-02
  2.100000000000000e+00, -2.825088818387503e+00,  1.466153723400992e-01,  9.911907646392557e-01,  1.575673592183414e+00,  8.456470094538011e-02,  1.917288943168927e-01, -3.557754807471234e-05,  3.504700459160676e-13, -5.185072776275445e-03, -1.139964501161724e-04,  7.141954058888506e-07, -1.661384615541467e-02, -2.013048920906287e-04,  1.574206703532014e-06, -2.933818136440106e-02, -2.896386102341049e-04,  2.466852416491861e-06, -4.221194026253845e-02, -3.736250848444718e-04,  3.347446659122760e-06, -5.445213163037618e-02, -4.572204669785591e-04,  4.152822643286912e-06, -6.663532498066649e-02, -5.006961659500420e-04,  5.025566383883827e-06, -7.297147460704535e-02, -3.272143959489194e-04, -1.739750119556303e-05,  1.571713325976430e-02, -3.272143957881775e-04, -1.739750117252567e-05,  1.571713325999293e-02, -3.272143956593574e-04, -1.739750115581665e-05,  1.571713326017520e-02, -3.272143955629492e-04, -1.739750114489472e-05,  1.571713326031084e-02, -3.272143954985783e-04, -1.739750113910762e-05,  1.571713326040000e-02, -3.272143954672037e-04, -1.739750113813617e-05,  1.571713326044259e-02, -1.565624031946157e-07, -1.125747681750344e-02
  2.110000000000000e+00, -2.805755764684540e+00,  1.460338746055106e-01,  9.888240007161250e-01,  1.573043629759550e+00,  8.661274961975229e-02,  1.960791624143286e-01, -1.154138645697542e-05,  2.905179368491060e-13, -5.196519165176301e-03, -3.698054208480159e-05,  2.142152633309689e-07, -1.665052231343125e-02, -6.530347174857730e-05,  4.721661692260429e-07, -2.940294732948057e-02, -9.395900216487725e-05,  7.399053711244183e-07, -4.230512589715885e-02, -1.212042836442661e-04,  1.004029814678205e-06, -5.457233829235155e-02, -1.483226950712340e-04,  1.245593367786330e-06, -6.678242684283268e-02, -1.624262478397943e-04,  1.507362898972788e-06, -7.313256393602670e-02, -1.061617970642365e-04, -5.643695046190619e-06,  1.564607232397723e-02, -1.061617969283075e-04, -5.643695038689602e-06,  1.564607232416053e-02, -1.061617968190032e-04, -5.643695036371987e-06,  1.564607232430634e-02, -1.061617967374912e-04, -5.643695038856137e-06,  1.564607232441471e-02, -1.061617966826925e-04, -5.643695045628567e-06,  1.564607232448552e-02, -1.061617966556860e-04, -5.643695056217427e-06,  1.564607232451891e-02, -1.371937841665450e-07, -1.146547817243892e-02
  2.120000000000000e+00, -2.786250327782604e+00,  1.453644747626297e-01,  9.867946007915230e-01,  1.569882567004450e+00,  8.812522860360182e-02,  1.994212160134005e-01,  1.723253910259803e-05,  2.324809637676698e-13, -5.204760709305927e-03,  5.521595933001336e-05, -3.845744507651364e-07, -1.667692960916690e-02,  9.750516697956607e-05, -8.476673505002380e-07, -2.944957964017470e-02,  1.402909824027896e-04, -1.328333104275250e-06, -4.237222072792971e-02,  1.809711415893664e-04, -1.802509609707325e-06, -5.465888860317800e-02,  2.214618675075353e-04, -2.236183150568588e-06, -6.688834203652169e-02,  2.425199999818732e-04, -2.706132963820210e-06, -7.324855028201289e-02,  1.584557719789622e-04,  8.373678731822904e-06,  1.559489487545063e-02,  1.584557720933294e-04,  8.373678730011834e-06,  1.559489487559107e-02,  1.584557721840581e-04,  8.373678723961058e-06,  1.559489487570266e-02,  1.584557722523288e-04,  8.373678714204877e-06,  1.559489487578550e-02,  1.584557722985528e-04,  8.373678700895943e-06,  1.559489487583960e-02,  1.584557723216734e-04,  8.373678684436722e-06,  1.559489487586493e-02, -1.149798089516985e-07, -1.161526325437521e-02
  2.130000000000000e+00, -2.766630501191311e+00,  1.446004024243104e-01,  9.851361016269551e-01,  1.566171973022987e+00,  8.903501640376811e-02,  2.017197663063275e-01,  5.093297828629734e-05,  1.763591269420974e-13, -5.209980265485826e-03,  1.631978399239896e-04, -1.086295546049571e-06, -1.669365394661129e-02,  2.881890077127213e-04, -2.394379018564329e-06, -2.947911293692881e-02,  4.146479643087419e-04, -3.752099866662394e-06, -4.241471340133175e-02,  5.348833854610843e-04, -5.091490611688861e-06, -5.471370287198225e-02,  6.545589142499836e-04, -6.316473942275788e-06, -6.695542052342490e-02,  7.167989228005424e-04, -7.643925065696028e-06, -7.332200705736869e-02,  4.683754293951818e-04,  2.475896809217204e-05,  1.556245479816655e-02,  4.683754294893609e-04,  2.475896808567717e-05,  1.556245479826877e-02,  4.683754295651916e-04,  2.475896807585160e-05,  1.556245479835011e-02,  4.683754296224122e-04,  2.475896806286187e-05,  1.556245479841061e-02,  4.683754296609927e-04,  2.475896804715204e-05,  1.556245479845021e-02,  4.683754296806890e-04,  2.475896802893033e-05,  1.556245479846881e-02, -9.071105126767788e-08, -1.171017306952892e-02
  2.140000000000000e+00, -2.746947359209820e+00,  1.437355726074088e-01,  9.838690273037181e-01,  1.561908286840896e+00,  8.927408458219925e-02,  2.030073719367642e-01,  8.963906358706137e-05,  1.204038233835938e-13, -5.212782692961281e-03,  2.872186535129647e-04, -1.892646897464943e-06, -1.670263339661263e-02,  5.071957979342948e-04, -4.171713438717572e-06, -2.949496963460182e-02,  7.297561651498545e-04, -6.537262875041468e-06, -4.243752810709763e-02,  9.413634744348735e-04, -8.870875835762305e-06, -5.474313315521066e-02,  1.151985406611257e-03, -1.100515741067339e-05, -6.699143557765795e-02,  1.261524181834899e-03, -1.331796781507935e-05, -7.336144667310264e-02,  8.243266198854924e-04,  4.356527127765138e-05,  1.554498339177713e-02,  8.243266199627684e-04,  4.356527126961607e-05,  1.554498339184673e-02,  8.243266200254171e-04,  4.356527125891619e-05,  1.554498339190229e-02,  8.243266200729592e-04,  4.356527124581542e-05,  1.554498339194378e-02,  8.243266201054960e-04,  4.356527123052194e-05,  1.554498339197112e-02,  8.243266201225437e-04,  4.356527121306353e-05,  1.554498339198438e-02, -6.460204121649939e-08, -1.176122173114342e-02
  2.150000000000000e+00, -2.727245876684673e+00,  1.427661469767383e-01,  9.830023521119433e-01,  1.557107008124701e+00,  8.877942542500920e-02,  2.033728413509316e-01,  1.332741145794746e-04,  6.258889395922758e-14, -5.214097440810725e-03,  4.270327030680634e-04, -2.802047141872372e-06, -1.670684607050841e-02,  7.540916643475540e-04, -6.176185016198111e-06, -2.950240874244050e-02,  1.084991325586357e-03, -9.678360042514385e-06, -4.244823153729158e-02,  1.399606132766873e-03, -1.313325338441242e-05, -5.475694025773383e-02,  1.712755895380185e-03, -1.629303839318061e-05, -6.700833189972705e-02,  1.875616624519848e-03, -1.971713361580175e-05, -7.337994961481889e-02,  1.225605390168668e-03,  6.476491812337376e-05,  1.553669479095774e-02,  1.225605390231367e-03,  6.476491811634457e-05,  1.553669479100066e-02,  1.225605390282054e-03,  6.476491810717128e-05,  1.553669479103504e-02,  1.225605390320720e-03,  6.476491809606891e-05,  1.553669479106084e-02,  1.225605390347666e-03,  6.476491808332901e-05,  1.553669479107824e-02,  1.225605390363095e-03,  6.476491806902086e-05,  1.553669479108715e-02, -3.679487772800805e-08, -1.178532516738835e-02
  2.160000000000000e+00, -2.707565693087540e+00,  1.416920413560264e-01,  9.825362593975955e-01,  1.551810281858869e+00,  8.749767727252004e-02,  2.029435499675632e-01,  1.815257408365685e-04,  3.580473316722104e-15, -5.215054527361631e-03,  5.816390370329050e-04, -3.808086706608789e-06, -1.670991273727581e-02,  1.027109039211218e-03, -8.393665970718546e-06, -2.950782413071043e-02,  1.477810259209510e-03, -1.315325249948617e-05, -4.245602322839149e-02,  1.906330726583530e-03, -1.784858145225148e-05, -5.476699130454046e-02,  2.332855733241366e-03, -2.214284719528212e-05, -6.702063178116305e-02,  2.554679862973250e-03, -2.679632028577018e-05, -7.339341905441020e-02,  1.669338660371837e-03,  8.820340439172771e-05,  1.553055728829371e-02,  1.669338660419438e-03,  8.820340438778638e-05,  1.553055728831599e-02,  1.669338660459776e-03,  8.820340438236011e-05,  1.553055728833428e-02,  1.669338660489976e-03,  8.820340437553216e-05,  1.553055728834805e-02,  1.669338660512001e-03,  8.820340436739974e-05,  1.553055728835769e-02,  1.669338660524960e-03,  8.820340435811540e-05,  1.553055728836302e-02, -7.940972365783059e-09, -1.180304509684832e-02
  2.170000000000000e+00, -2.687941872278324e+00,  1.405180301773058e-01,  9.824654357101067e-01,  1.546095094885834e+00,  8.538979598314952e-02,  2.018635461708767e-01,  2.337583585793129e-04, -5.415118955537799e-14, -5.216834761590545e-03,  7.490011379581829e-04, -4.897764742912467e-06, -1.671561690767726e-02,  1.322651662043371e-03, -1.079550023902964e-05, -2.951789705334055e-02,  1.903038646218347e-03, -1.691703490405966e-05, -4.247051620610388e-02,  2.454862539166518e-03, -2.295592479191982e-05, -5.478568680927048e-02,  3.004116793348525e-03, -2.847898789449568e-05, -6.704351024324312e-02,  3.289769088087080e-03, -3.446404489365786e-05, -7.341847295959117e-02,  2.149678957538240e-03,  1.135515927127377e-04,  1.551922553078299e-02,  2.149678957573056e-03,  1.135515927137715e-04,  1.551922553079158e-02,  2.149678957601537e-03,  1.135515927137993e-04,  1.551922553079861e-02,  2.149678957624665e-03,  1.135515927128695e-04,  1.551922553080424e-02,  2.149678957641887e-03,  1.135515927112458e-04,  1.551922553080828e-02,  2.149678957653184e-03,  1.135515927088588e-04,  1.551922553081089e-02,  2.046991796900155e-08, -1.183586331746763e-02
  2.180000000000000e+00, -2.668405766521703e+00,  1.392541599814136e-01,  9.827819802972347e-01,  1.540077962184237e+00,  8.243684326564230e-02,  2.002708743293057e-01,  2.889571095862674e-04, -1.064705093365744e-13, -5.220504323724565e-03,  9.258672292636250e-04, -6.050269397696195e-06, -1.672737480267064e-02,  1.634977261604704e-03, -1.333581498814039e-05, -2.953866017182938e-02,  2.352414474469002e-03, -2.089782246023813e-05, -4.250039029770050e-02,  3.034543823672352e-03, -2.835773781986550e-05, -5.482422348768442e-02,  3.713496750187048e-03, -3.518044599267976e-05, -6.709066916999841e-02,  4.066601819413930e-03, -4.257386090076904e-05, -7.347011608470340e-02,  2.657288511735897e-03,  1.402776678854646e-04,  1.549607067442226e-02,  2.657288511759013e-03,  1.402776678922994e-04,  1.549607067442321e-02,  2.657288511777838e-03,  1.402776678986139e-04,  1.549607067442393e-02,  2.657288511794138e-03,  1.402776679045536e-04,  1.549607067442459e-02,  2.657288511807139e-03,  1.402776679101326e-04,  1.549607067442511e-02,  2.657288511816837e-03,  1.402776679154478e-04,  1.549607067442544e-02,  4.630511697689686e-08, -1.190317035060296e-02
  2.190000000000000e+00, -2.648985970291145e+00,  1.379153443696337e-01,  9.834771647966356e-01,  1.533912667201715e+00,  7.864635437365056e-02,  1.982783620754891e-01,  3.457370683166342e-04, -1.490476114643839e-13, -5.226858451099885e-03,  1.107799776391696e-03, -7.237020131752350e-06, -1.674773449659674e-02,  1.956249651609889e-03, -1.595161388873792e-05, -2.957461309852238e-02,  2.814662995092866e-03, -2.499689708392500e-05, -4.255211957071618e-02,  3.630830493616979e-03, -3.392006296043100e-05, -5.489095269191396e-02,  4.443197403736260e-03, -4.208103448472969e-05, -6.717232845633031e-02,  4.865687480423096e-03, -5.092465594357142e-05, -7.355954010324578e-02,  3.179424596801401e-03,  1.676572375301108e-04,  1.545615423020504e-02,  3.179424596814889e-03,  1.676572375422818e-04,  1.545615423020282e-02,  3.179424596826207e-03,  1.676572375543833e-04,  1.545615423020072e-02,  3.179424596837253e-03,  1.676572375664432e-04,  1.545615423019894e-02,  3.179424596847019e-03,  1.676572375784754e-04,  1.545615423019740e-02,  3.179424596854958e-03,  1.676572375906324e-04,  1.545615423019600e-02,  6.746899641751904e-08, -1.201941920908141e-02
  2.200000000000000e+00, -2.629709167300880e+00,  1.365202265412723e-01,  9.845417176153131e-01,  1.527780024387789e+00,  7.405718054144729e-02,  1.959615302677228e-01,  4.024302456876592e-04, -1.791346908852527e-13, -5.236307151794611e-03,  1.289454261544735e-03, -8.423319416422918e-06, -1.677800972441225e-02,  2.277031015518582e-03, -1.856641773453865e-05, -2.962807574142379e-02,  3.276205024609251e-03, -2.909441241610487e-05, -4.262904192183245e-02,  4.226205811285660e-03, -3.948027218633348e-05, -5.499018020814671e-02,  5.171782797763895e-03, -4.897899797347689e-05, -6.729375727081957e-02,  5.663551835258755e-03, -5.927227432386698e-05, -7.369251521295575e-02,  3.700741130147118e-03,  1.948274584054672e-04,  1.539694015921009e-02,  3.700741130153617e-03,  1.948274584211146e-04,  1.539694015920710e-02,  3.700741130160657e-03,  1.948274584370673e-04,  1.539694015920421e-02,  3.700741130167355e-03,  1.948274584532767e-04,  1.539694015920141e-02,  3.700741130174386e-03,  1.948274584697498e-04,  1.539694015919868e-02,  3.700741130181077e-03,  1.948274584864727e-04,  1.539694015919604e-02,  8.267476711565359e-08, -1.219204433266704e-02
  2.210000000000000e+00, -2.610600597669413e+00,  1.350895854980151e-01,  9.859648340459868e-01,  1.521871534588841e+00,  6.874050320234053e-02,  1.933553118967130e-01,  4.572354574877271e-04, -1.964541914333687e-13, -5.248828834317485e-03,  1.465059387281204e-03, -9.571404463417501e-06, -1.681813130338619e-02,  2.587129891985409e-03, -2.109699096598344e-05, -2.969892593163896e-02,  3.722377031159787e-03, -3.305993458966416e-05, -4.273098157376431e-02,  4.801754262222535e-03, -4.486137053244373e-05, -5.512167928898115e-02,  5.876105235120663e-03, -5.565475752874719e-05, -6.745467813328902e-02,  6.434846142940318e-03, -6.735099107490573e-05, -7.386873754892671e-02,  4.204668835488212e-03,  2.208748800248258e-04,  1.531858345798638e-02,  4.204668835490627e-03,  2.208748800416111e-04,  1.531858345798357e-02,  4.204668835494503e-03,  2.208748800587712e-04,  1.531858345798068e-02,  4.204668835498851e-03,  2.208748800764101e-04,  1.531858345797757e-02,  4.204668835504230e-03,  2.208748800945762e-04,  1.531858345797432e-02,  4.204668835509756e-03,  2.208748801130616e-04,  1.531858345797086e-02,  9.183589053107789e-08, -1.242061787332660e-02
  2.220000000000000e+00, -2.591683963380248e+00,  1.336446566125305e-01,  9.877324924954258e-01,  1.516370833483240e+00,  6.279597642041022e-02,  1.904587332434238e-01,  5.083954118556781e-04, -2.030600278376724e-13, -5.263998037117310e-03,  1.628984494600131e-03, -1.064419576224751e-05, -1.686673598310204e-02,  2.876603171306247e-03, -2.346160408084712e-05, -2.978475632246280e-02,  4.138872812617109e-03, -3.676538979565818e-05, -4.285447482254586e-02,  5.339021276560277e-03, -4.988956556453398e-05, -5.528098186062252e-02,  6.533581095615480e-03, -6.189270726470977e-05, -6.764962327708997e-02,  7.154839375799392e-03, -7.489988923879642e-05, -7.408221943128578e-02,  4.675045543236595e-03,  2.449347688770373e-04,  1.522375633450566e-02,  4.675045543237776e-03,  2.449347688926083e-04,  1.522375633450331e-02,  4.675045543239984e-03,  2.449347689087414e-04,  1.522375633450058e-02,  4.675045543242885e-03,  2.449347689253672e-04,  1.522375633449756e-02,  4.675045543247267e-03,  2.449347689425619e-04,  1.522375633449417e-02,  4.675045543252028e-03,  2.449347689601452e-04,  1.522375633449041e-02,  9.588586775965968e-08, -1.269735653288876e-02
  2.230000000000000e+00, -2.572980779465778e+00,  1.322057026830123e-01,  9.898257592354217e-01,  1.511437166882847e+00,  5.634366013319346e-02,  1.872447736217649e-01,  5.543601154016105e-04, -2.022551171358361e-13, -5.281072479995255e-03,  1.776263143677641e-03, -1.160884452196096e-05, -1.692144537283153e-02,  3.136680680026351e-03, -2.558785279429433e-05, -2.988136694370981e-02,  4.513073794115703e-03, -4.009731725921706e-05, -4.299347872746684e-02,  5.821729272766716e-03, -5.441089430916332e-05, -5.546029271155344e-02,  7.124290829696789e-03, -6.750184160989236e-05, -6.786905337957171e-02,  7.801717895138257e-03, -8.168782209814143e-05, -7.432251447232041e-02,  5.097619909462666e-03,  2.662775200111571e-04,  1.511710401429272e-02,  5.097619909463787e-03,  2.662775200239663e-04,  1.511710401429072e-02,  5.097619909465356e-03,  2.662775200373100e-04,  1.511710401428835e-02,  5.097619909467832e-03,  2.662775200511256e-04,  1.511710401428550e-02,  5.097619909471546e-03,  2.662775200654475e-04,  1.511710401428230e-02,  5.097619909475833e-03,  2.662775200802413e-04,  1.511710401427875e-02,  9.622327901137598e-08, -1.300870987046375e-02
  2.240000000000000e+00, -2.554509349170192e+00,  1.307910311454041e-01,  9.922196136428539e-01,  1.507193860943923e+00,  4.951351730193868e-02,  1.836720119232077e-01,  5.939061240772302e-04, -1.977031993333158e-13, -5.299112830669942e-03,  1.902975213754594e-03, -1.243935967272812e-05, -1.697924969378365e-02,  3.360439926327899e-03, -2.741844839610174e-05, -2.998344286497302e-02,  4.835019855507282e-03, -4.296594298983781e-05, -4.314034613677883e-02,  6.237029995824524e-03, -5.830353606905833e-05, -5.564974724632784e-02,  7.632511496454887e-03, -7.233103051231714e-05, -6.810089672740371e-02,  8.358263713591796e-03, -8.753189857103279e-05, -7.457640309633098e-02,  5.461148003272742e-03,  2.843652328526538e-04,  1.500449631405225e-02,  5.461148003273843e-03,  2.843652328616952e-04,  1.500449631405049e-02,  5.461148003275360e-03,  2.843652328712364e-04,  1.500449631404838e-02,  5.461148003278070e-03,  2.843652328812007e-04,  1.500449631404601e-02,  5.461148003281215e-03,  2.843652328916230e-04,  1.500449631404320e-02,  5.461148003285132e-03,  2.843652329024061e-04,  1.500449631404010e-02,  9.415401032442098e-08, -1.333754493132940e-02
  2.250000000000000e+00, -2.536283621111971e+00,  1.294164787317046e-01,  9.948825533116009e-01,  1.503722780834733e+00,  4.243444360664392e-02,  1.796952982222257e-01,  6.261994017006988e-04, -1.922075906962158e-13, -5.317108375842062e-03,  2.006448312442960e-03, -1.311799944555363e-05, -1.703691045036686e-02,  3.543161766186225e-03, -2.891428502824855e-05, -3.008526526773063e-02,  5.097921065835304e-03, -4.530998634498472e-05, -4.328684878224293e-02,  6.576164639287077e-03, -6.148433479153135e-05, -5.583873124672841e-02,  8.047524582284251e-03, -7.627711105285463e-05, -6.833216426287139e-02,  8.812739126808756e-03, -9.230727533296538e-05, -7.482966115575107e-02,  5.757970294258434e-03,  2.988733608801204e-04,  1.489224261058070e-02,  5.757970294260406e-03,  2.988733608850124e-04,  1.489224261057928e-02,  5.757970294262091e-03,  2.988733608903901e-04,  1.489224261057755e-02,  5.757970294264833e-03,  2.988733608960523e-04,  1.489224261057552e-02,  5.757970294268183e-03,  2.988733609020891e-04,  1.489224261057331e-02,  5.757970294271601e-03,  2.988733609085563e-04,  1.489224261057076e-02,  9.059108693754152e-08, -1.366543798789330e-02
  2.260000000000000e+00, -2.518312172314662e+00,  1.280952541714220e-01,  9.977769825160994e-01,  1.501064135498998e+00,  3.522439917959202e-02,  1.752739023071398e-01,  6.508055731544595e-04, -1.872670939924986e-13, -5.334088880607679e-03,  2.085290628709768e-03, -1.363549692473254e-05, -1.709131884658725e-02,  3.682388418044348e-03, -3.005493684126532e-05, -3.018134436834658e-02,  5.298241155173125e-03, -4.709743909709961e-05, -4.342508793230143e-02,  6.834571521449704e-03, -6.390985623990563e-05, -5.601705558693101e-02,  8.363747768661741e-03, -7.928619896746181e-05, -6.855038713139917e-02,  9.159031010631234e-03, -9.594874396586459e-05, -7.506863417068156e-02,  5.984104220072393e-03,  3.096822541832217e-04,  1.478639358056157e-02,  5.984104220074241e-03,  3.096822541842139e-04,  1.478639358056020e-02,  5.984104220077323e-03,  3.096822541854907e-04,  1.478639358055880e-02,  5.984104220079865e-03,  3.096822541870381e-04,  1.478639358055718e-02,  5.984104220082868e-03,  3.096822541888422e-04,  1.478639358055544e-02,  5.984104220086788e-03,  3.096822541910211e-04,  1.478639358055355e-02,  8.604555602753640e-08, -1.397471348768730e-02
  2.270000000000000e+00, -2.500597492388364e+00,  1.268379808840756e-01,  1.000860224143453e+00,  1.499220228596932e+00,  2.798267623590944e-02,  1.703767221567997e-01,  6.676595971294695e-04, -1.834645769629723e-13, -5.349211464950166e-03,  2.139293759240651e-03, -1.399039608618931e-05, -1.713977415295665e-02,  3.777751865112861e-03, -3.083719451127687e-05, -3.026691098268171e-02,  5.435450618892274e-03, -4.832327208994901e-05, -4.354820165800534e-02,  7.011567597283338e-03, -6.557327599455443e-05, -5.617586858525292e-02,  8.580345185141888e-03, -8.134982791885199e-05, -6.874473316410770e-02,  9.396224014236790e-03, -9.844605887150323e-05, -7.528145997436750e-02,  6.138963390857382e-03,  3.168481244953132e-04,  1.469219961075698e-02,  6.138963390859980e-03,  3.168481244928082e-04,  1.469219961075578e-02,  6.138963390862892e-03,  3.168481244904767e-04,  1.469219961075457e-02,  6.138963390866232e-03,  3.168481244883881e-04,  1.469219961075337e-02,  6.138963390869002e-03,  3.168481244864868e-04,  1.469219961075205e-02,  6.138963390872766e-03,  3.168481244847937e-04,  1.469219961075073e-02,  8.078592678151254e-08, -1.425002632877975e-02
  2.280000000000000e+00, -2.483135664275566e+00,  1.256528045037584e-01,  1.004085929058899e+00,  1.498161762987196e+00,  2.078491409406519e-02,  1.649848475351939e-01,  6.770079248532746e-04, -1.802171717922177e-13, -5.361817830584050e-03,  2.169247375258769e-03, -1.418780401851207e-05, -1.718016707093468e-02,  3.830646577842363e-03, -3.127231492452578e-05, -3.033824032705002e-02,  5.511555828913836e-03, -4.900512537134448e-05, -4.365083071964920e-02,  7.109741026139062e-03, -6.649853108677755e-05, -5.630825698387875e-02,  8.700484069335990e-03, -8.249769404909259e-05, -6.890674232155654e-02,  9.527786538187562e-03, -9.983515704175949e-05, -7.545887408804218e-02,  6.224824029959155e-03,  3.205629853789111e-04,  1.461375496559426e-02,  6.224824029962371e-03,  3.205629853736479e-04,  1.461375496559320e-02,  6.224824029965877e-03,  3.205629853684853e-04,  1.461375496559226e-02,  6.224824029969232e-03,  3.205629853635795e-04,  1.461375496559130e-02,  6.224824029972212e-03,  3.205629853587429e-04,  1.461375496559039e-02,  6.224824029975496e-03,  3.205629853541285e-04,  1.461375496558953e-02,  7.501499486861629e-08, -1.447940252085337e-02
